dr,cr,net,holding,p&l,nifty_performance,strategy_performance
0.0,,-12455293.62,11678045.0,-777248.62,,
0.0,,-12455293.62,11512403.0,-942890.62,,
0.0,,-12455293.62,11440244.0,-1015049.62,,
0.0,,-12455293.62,11207016.0,-1248277.62,,
0.0,,-12455293.62,11295132.0,-1160161.62,,
0.0,,-12455293.62,11129499.0,-1325794.62,,
0.0,,-12455293.62,11266416.0,-1188877.62,,
0.0,,-12455293.62,11415590.0,-1039703.62,,
0.0,,-12455293.62,11398163.0,-1057130.62,,
0.0,,-12455293.62,11295290.0,-1160003.62,,
0.0,,-12455293.62,11192443.0,-1262850.62,,
0.0,,-12455293.62,11215984.0,-1239309.62,,
0.0,,-12455293.62,11352515.0,-1102778.62,,
0.0,,-12455293.62,11524414.0,-930879.62,,
0.0,,-12455293.62,11534693.0,-920600.62,,
0.0,,-12455293.62,11492963.0,-962330.62,,
0.0,,-12455293.62,11393994.0,-1061299.62,,
0.0,,-12455293.62,11333881.0,-1121412.62,,
0.0,,-12455293.62,11123978.0,-1331315.62,,
0.0,,-12455293.62,11348959.0,-1106334.62,,
0.0,,-12455293.62,11178117.0,-1277176.62,,
0.0,,-12455293.62,10682341.0,-1772952.62,,
0.0,,-12455293.62,10725785.0,-1729508.62,,
0.0,,-12455293.62,10654543.0,-1800750.62,,
0.0,,-12455293.62,10698108.0,-1757185.62,,
0.0,,-12455293.62,10468124.0,-1987169.62,,
0.0,,-12455293.62,10329034.0,-2126259.62,,
0.0,,-12455293.62,10275932.0,-2179361.62,,
0.0,,-12455293.62,10292810.0,-2162483.62,,
0.0,,-12455293.62,11019085.0,-1436208.62,,
0.0,,-12455293.62,10974930.0,-1480363.62,,
0.0,,-12455293.62,10839475.0,-1615818.62,,
0.0,,-12455293.62,10534938.0,-1920355.62,,
0.0,,-12455293.62,10406555.0,-2048738.62,,
0.0,,-12455293.62,10525385.0,-1929908.62,,
0.0,,-12455293.62,10212921.0,-2242372.62,,
0.0,,-12455293.62,10358405.0,-2096888.62,,
0.0,,-12455293.62,10656476.0,-1798817.62,,
0.0,,-12455293.62,10686617.0,-1768676.62,,
0.0,,-12455293.62,10679584.0,-1775709.62,,
0.0,,-12455293.62,10274612.0,-2180681.62,,
0.0,,-12455293.62,10421090.0,-2034203.62,,
0.0,,-12455293.62,10766655.0,-1688638.62,,
0.0,,-12455293.62,10941507.0,-1513786.62,,
0.0,,-12455293.62,10773247.0,-1682046.62,,
0.0,,-12455293.62,10868485.0,-1586808.62,,
0.0,,-12455293.62,11095440.0,-1359853.62,,
0.0,,-12455293.62,11220652.0,-1234641.62,,
0.0,,-12455293.62,11139162.0,-1316131.62,,
0.0,,-12455293.62,11106393.0,-1348900.62,,
0.0,,-12455293.62,10891550.0,-1563743.62,,
0.0,,-12455293.62,10824233.0,-1631060.62,,
0.0,,-12455293.62,10881056.0,-1574237.62,,
0.0,,-12455293.62,11135854.0,-1319439.62,,
0.0,,-12455293.62,10891077.0,-1564216.62,,
0.0,,-12455293.62,10928965.0,-1526328.62,,
0.0,,-12455293.62,10872559.0,-1582734.62,,
0.0,,-12455293.62,10842671.0,-1612622.62,,
0.0,,-12455293.62,10925546.0,-1529747.62,,
0.0,,-12455293.62,10954811.0,-1500482.62,,
0.0,,-12455293.62,10833968.0,-1621325.62,,
0.0,,-12455293.62,10642309.0,-1812984.62,,
0.0,,-12455293.62,10428411.0,-2026882.62,,
0.0,,-12455293.62,10679988.0,-1775305.62,,
0.0,,-12455293.62,10741268.0,-1714025.62,,
514024.15,0,-12969318.06,10961066.0,-2008252.06,,
514024.15,0,-12969318.06,11175571.0,-1793747.06,,
514024.15,0,-12969318.06,10993804.0,-1975514.06,,
514024.15,0,-12969318.06,10946434.0,-2022884.06,,
514024.15,0,-12969318.06,10518957.0,-2450361.06,,
514024.15,0,-12969318.06,10613101.0,-2356217.06,,
514024.15,0,-12969318.06,10861106.0,-2108212.06,,
514024.15,0,-12969318.06,10942233.0,-2027085.06,,
514024.15,0,-12969318.06,10621433.0,-2347885.06,,
514024.15,0,-12969318.06,10719437.0,-2249881.06,,
514024.15,0,-12969318.06,10235060.0,-2734258.06,,
514024.15,0,-12969318.06,10512843.0,-2456475.06,,
514024.15,0,-12969318.06,10799366.0,-2169952.06,,
514024.15,0,-12969318.06,10603620.0,-2365698.06,,
514024.15,0,-12969318.06,10297025.0,-2672293.06,1.226127061,
514024.15,0,-12969318.06,10297025.0,-2672293.06,,
514024.15,0,-12969318.06,10607132.0,-2362186.06,,
514024.15,0,-12969318.06,10775700.0,-2193618.06,,
514024.15,0,-12969318.06,10727617.0,-2241701.06,,
514024.15,0,-12969318.06,11211599.0,-1757719.06,,
514024.15,0,-12969318.06,11250881.0,-1718437.06,,
514024.15,0,-12969318.06,11436859.0,-1532459.06,,
514024.15,0,-12969318.06,11382153.0,-1587165.06,,
514024.15,0,-12969318.06,11651417.0,-1317901.06,,
514024.15,0,-12969318.06,11848232.0,-1121086.06,,
514024.15,0,-12969318.06,11989121.0,-980197.06,,
514024.15,0,-12969318.06,11949280.0,-1020038.06,,
514024.15,0,-12969318.06,12037203.0,-932115.06,,
514024.15,0,-12969318.06,12174150.0,-795168.06,,
514024.15,0,-12969318.06,12155616.0,-813702.06,,
514024.15,0,-12969318.06,12060146.0,-909172.06,,
514024.15,0,-12969318.06,12158371.0,-810947.06,,
514024.15,0,-12969318.06,12244806.0,-724512.06,,
514024.15,0,-12969318.06,12372554.0,-596764.06,,
514024.15,0,-12969318.06,12186393.0,-782925.06,,
514024.15,0,-12969318.06,12175089.0,-794229.06,,
514024.15,0,-12969318.06,12298442.0,-670876.06,,
514024.15,0,-12969318.06,12472513.0,-496805.06,,
514024.15,0,-12969318.06,12690682.0,-278636.06,,
514024.15,0,-12969318.06,12625461.0,-343857.06,,
514024.15,0,-12969318.06,12412798.0,-556520.06,,
514024.15,0,-12969318.06,12038107.0,-931211.06,,
514024.15,0,-12969318.06,12163547.0,-805771.06,,
514024.15,0,-12969318.06,12252845.0,-716473.06,,
514024.15,0,-12969318.06,12234408.0,-734910.06,,
514024.15,0,-12969318.06,11962042.0,-1007276.06,,
514024.15,0,-12969318.06,11948807.0,-1020511.06,,
514024.15,0,-12969318.06,12087240.0,-882078.06,,
514024.15,0,-12969318.06,12174903.0,-794415.06,,
514024.15,0,-12969318.06,12180934.0,-788384.06,,
514024.15,0,-12969318.06,12318146.0,-651172.06,,
514024.15,0,-12969318.06,12397099.0,-572219.06,,
514024.15,0,-12969318.06,12551803.0,-417515.06,,
514024.15,0,-12969318.06,12511977.0,-457341.06,,
514024.15,0,-12969318.06,12303229.0,-666089.06,,
514024.15,0,-12969318.06,12342184.0,-627134.06,,
0.0,204651.16,-12764666.9,12223007.0,-541659.9,,
0.0,204651.16,-12764666.9,12313727.0,-450939.9,,
0.0,204651.16,-12764666.9,12257299.0,-507367.9,,
0.0,204651.16,-12764666.9,11868776.0,-895890.9,,
0.0,204651.16,-12764666.9,12062840.0,-701826.9,,
0.0,204651.16,-12764666.9,11817939.0,-946727.9,,
0.0,204651.16,-12764666.9,11672729.0,-1091937.9,,
0.0,204651.16,-12764666.9,12036311.0,-728355.9,,
0.0,204651.16,-12764666.9,12281109.0,-483557.9,,
0.0,204651.16,-12764666.9,12249261.0,-515405.9,,
0.0,204651.16,-12764666.9,12335795.0,-428871.9,,
0.0,204651.16,-12764666.9,12424534.0,-340132.9,,
0.0,204651.16,-12764666.9,12556245.0,-208421.9,,
