Total cash to be allocated,20000000,Rebalance Date,2026-07-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
Target rebalance date,2026-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01 00:00:00,Qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,,,,,,,,,,,
POLICYBZR,414,1541.25,414,638077.5,1772.7,733897.8,0.1501703163,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,978,636.9,978,622888.2,997.5,975555,0.5661799341,,,,,,,,,,,,,,,,,,
VEDL,2187,453.8,2187,992460.6,256.25,560418.75,-0.4353239312,,,,,,,,,,,,,,,,,,
DIXON,76,18190.9,76,1382508.4,13345,1014220,-0.2663914375,,,,,,,,,,,,,,,,,,
,,,,16331134.54,,21537488.05,,,,,,,,,,,,,,,,,,,
2025-01-02 00:00:00,Qty,Buying Rate,,,,,,,,,,,,,,,,,,,,,,,
OFSS,124,12724.95,,,,,,,,,,,,,,,,,,,,,,,
DIXON,76,18190.9,,,,,,,,,,,,,,,,,,,,,,,
POLICYBZR,627,2188.49,,,,,,,,,,,,,,,,,,,,,,,
BSE,251,5400.83,,,,,,,,,,,,,,,,,,,,,,,
TRENT,166,7130.7,,,,,,,,,,,,,,,,,,,,,,,
ZOMATO,4020,277.59,,,,,,,,,,,,,,,,,,,,,,,
KALYANKJIL,1365,776.2,,,,,,,,,,,,,,,,,,,,,,,
HUDCO,3901,238.96,,,,,,,,,,,,,,,,,,,,,,,
CDSL,523,1782.6,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,1054,875.52,,,,,,,,,,,,,,,,,,,,,,,
MCX,146,6240.95,,,,,,,,,,,,,,,,,,,,,,,
CAMS,179,5100.2,,,,,,,,,,,,,,,,,,,,,,,
VEDL,1909,444.3,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,517,1613.6,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,834,971.7,,,,,,,,,,,,,,,,,,,,,,,
VOLTAS,437,1833.35,,,,,,,,,,,,,,,,,,,,,,,
OIL,1773,456.09,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,331,2370.75,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,118,6459.4,,,,,,,,,,,,,,,,,,,,,,,
M&M,231,3168.1,,,,,,,,,,,,,,,,,,,,,,,
