,,,,dr,dr,net,Actual holding,p&l,Backtest Portfolio
2024-12-12 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-11 00:00:00,20068247.97,0,-20068247.97,21722500,1654252.0300000012,21477670
2024-12-13 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-12 00:00:00,20068247.97,0,-20068247.97,21612737,1544489.0300000012,21487899
2024-12-16 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-13 00:00:00,20068247.97,0,-20068247.97,21616955,1548707.0300000012,21662026
2024-12-17 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-16 00:00:00,20068247.97,0,-20068247.97,21769226,1700978.0300000012,21494468
2024-12-18 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-17 00:00:00,20068247.97,0,-20068247.97,21587112,1518864.0300000012,21454261
2024-12-19 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-18 00:00:00,20068247.97,0,-20068247.97,21509952,1441704.0300000012,21372337
2024-12-20 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-19 00:00:00,20068247.97,0,-20068247.97,21434987,1366739.0300000012,20781955
2024-12-23 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-20 00:00:00,20068247.97,0,-20068247.97,20781112,712864.0300000012,20864200
2024-12-24 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-23 00:00:00,20068247.97,0,-20068247.97,20868048,799800.0300000012,20803847
2024-12-26 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-24 00:00:00,20068247.97,0,-20068247.97,20791374,723126.0300000012,20910727
2024-12-27 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-26 00:00:00,20068247.97,0,-20068247.97,20926756,858508.0300000012,20968463
2024-12-30 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-27 00:00:00,20068247.97,0,-20068247.97,20957145,888897.0300000012,20970979
2024-12-31 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-30 00:00:00,20068247.97,0,-20068247.97,20925222,856974.0300000012,21069318
2025-01-01 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-31 00:00:00,20068247.97,0,-20068247.97,21049316,981068.0300000012,21091577
2025-01-02 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-01 00:00:00,20068247.97,0,-20068247.97,21085781,1017533.0300000012,21394778
2025-01-03 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-02 00:00:00,20068247.97,0,-20068247.97,21401709,1333461.0300000012,21248983
2025-01-06 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-03 00:00:00,20068247.97,0,-20068247.97,21223091,1154843.0300000012,20727196
2025-01-07 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-06 00:00:00,20068247.97,0,-20068247.97,20612897,544649.0300000012,20817056
2025-01-08 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-07 00:00:00,20068247.97,0,-20068247.97,20753023,684775.0300000012,20416338
2025-01-09 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-08 00:00:00,20068247.97,0,-20068247.97,20346572,278324.0300000012,20219241
2025-01-10 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-09 00:00:00,20068247.97,0,-20068247.97,20138703,70455.03000000119,19890030
